id,firstName,lastName,birthDate,sex,studentCardNumber
1,Piotr,Nowak,1996-12-31,male,72612
2,Paweł,Nowak,1995-10-13,male,72613
3,Adam,Nowak,1995-11-14,male,72614
4,Zbigniew,Nowak,1995-04-07,male,72615
5,Jan,Nowak,1995-05-12,male,72616
6,Kamil,Nowak,1995-12-11,male,72617
7,Damian,Nowak,1996-12-06,male,72618
8,Mariusz,Nowak,1996-01-26,male,72619
9,Stefan,Nowak,1996-03-22,male,72620
10,Tomasz,Nowak,1995-07-22,male,72621
11,Paulina,Nowak,1997-06-23,female,72622
12,Monika,Nowak,1997-05-26,female,72623
13,Aleksandra,Nowak,1997-10-16,female,72624
14,Kinga,Nowak,1996-09-27,female,72625
15,Karolina,Nowak,1997-02-12,female,72626
16,Joanna,Nowak,1997-03-11,female,72627
17,Martyna,Nowak,1996-11-30,female,72628
18,Dominika,Nowak,1995-09-28,female,72629
19,Sylwia,Nowak,1996-01-29,female,72630
20,Danuta,Nowak,1996-12-29,female,72631
21,Piotr,Kowalski,1995-11-19,male,72632
22,Paweł,Kowalski,1997-02-27,male,72633
23,Adam,Kowalski,1996-11-06,male,72634
24,Zbigniew,Kowalski,1996-12-18,male,72635
25,Jan,Kowalski,1997-09-03,male,72636
26,Kamil,Kowalski,1995-10-04,male,72637
27,Damian,Kowalski,1995-01-31,male,72638
28,Mariusz,Kowalski,1996-09-13,male,72639
29,Stefan,Kowalski,1996-09-14,male,72640
30,Tomasz,Kowalski,1995-08-23,male,72641
31,Paulina,Kowalska,1996-01-05,female,72642
32,Monika,Kowalska,1995-07-25,female,72643
33,Aleksandra,Kowalska,1995-03-06,female,72644
34,Kinga,Kowalska,1995-01-26,female,72645
35,Karolina,Kowalska,1995-08-26,female,72646
36,Joanna,Kowalska,1996-02-24,female,72647
37,Martyna,Kowalska,1996-05-07,female,72648
38,Dominika,Kowalska,1996-11-02,female,72649
39,Sylwia,Kowalska,1996-01-03,female,72650
40,Danuta,Kowalska,1997-04-27,female,72651
41,Piotr,Wiśniewski,1995-08-17,male,72652
42,Paweł,Wiśniewski,1996-11-07,male,72653
43,Adam,Wiśniewski,1996-06-14,male,72654
