id,firstName,lastName,birthDate,sex,degree
1,Piotr,Nowak,1990-01-18,male,mgr inż.
2,Piotr,Kowalski,1983-12-27,male,mgr
3,Piotr,Wiśniewski,1984-03-01,male,mgr inż.
4,Piotr,Wójcik,1990-01-28,male,mgr inż.
5,Piotr,Kowalczyk,1981-03-01,male,dr
6,Piotr,Kamiński,1987-05-11,male,mgr
7,Paweł,Nowak,1988-06-03,male,mgr inż.
8,Paweł,Kowalski,1987-05-21,male,mgr
9,Paweł,Wiśniewski,1983-01-11,male,mgr inż.
10,Paweł,Wójcik,1981-06-19,male,mgr
11,Paweł,Kowalczyk,1984-04-12,male,mgr
12,Paweł,Kamiński,1980-12-21,male,dr inż.
13,Adam,Nowak,1989-01-06,male,dr
14,Adam,Kowalski,1981-07-24,male,mgr inż.
15,Adam,Wiśniewski,1989-11-28,male,mgr
16,Adam,Wójcik,1985-04-30,male,dr inż.
17,Adam,Kowalczyk,1986-02-24,male,dr
18,Adam,Kamiński,1981-04-25,male,mgr inż.
19,Zbigniew,Nowak,1988-03-16,male,dr
20,Zbigniew,Kowalski,1980-08-20,male,mgr inż.
21,Zbigniew,Wiśniewski,1988-02-26,male,mgr inż.
22,Zbigniew,Wójcik,1988-09-10,male,dr inż.
23,Zbigniew,Kowalczyk,1982-06-26,male,mgr
24,Zbigniew,Kamiński,1990-03-09,male,mgr
25,Jan,Nowak,1987-10-15,male,mgr
26,Jan,Kowalski,1989-03-06,male,mgr inż.
27,Jan,Wiśniewski,1980-11-06,male,mgr
28,Jan,Wójcik,1982-12-01,male,mgr
29,Jan,Kowalczyk,1983-04-16,male,mgr inż.
30,Jan,Kamiński,1982-09-13,male,mgr
31,Kamil,Nowak,1987-09-13,male,mgr
32,Kamil,Kowalski,1990-01-26,male,mgr
33,Kamil,Wiśniewski,1983-04-28,male,mgr
34,Kamil,Wójcik,1983-02-20,male,mgr
35,Kamil,Kowalczyk,1980-01-07,male,dr inż.
36,Kamil,Kamiński,1986-11-08,male,mgr
